"Frame","Phase","Private","Busy","Free","Committed","Errors"
"0","start","27897856","9649702","4065520","14393344","0"
"200","scroll","28991488","9692542","5031696","15572992","0"
"400","scroll","29126656","9675334","5147552","15679488","0"
"600","scroll","29052928","9747662","5297376","15949824","0"
"800","scroll","29433856","9671632","5369840","15994880","0"
"1000","scroll","29470720","9817336","5260048","15994880","0"
"1200","scroll","29474816","9586016","5500928","15994880","0"
"1400","scroll","29073408","9624606","5461520","16003072","0"
"1600","scroll","29097984","9358446","5693728","16003072","0"
"1800","scroll","29429760","9574726","5484592","16003072","0"
"2000","scroll","29478912","9463942","5569664","16003072","0"
"2200","scroll","29007872","9256262","5777712","16003072","0"
"2400","scroll","29429760","9766406","5256960","16003072","0"
"2600","scroll","29466624","9592326","5445760","16003072","0"
"2800","scroll","29462528","9631054","5442096","16003072","0"
"3000","scroll","28979200","9427838","5602960","16003072","0"
"3200","scroll","29429760","9571790","5494624","16003072","0"
"3400","scroll","29442048","9642798","5397600","16003072","0"
"3600","scroll","29478912","9563232","5477840","16003072","0"
"3800","scroll","29396992","9717328","5323712","16003072","0"
"4000","scroll","29433856","9752032","5289584","16003072","0"
"4200","scroll","29454336","9304056","5740624","16003072","0"
"4400","scroll","29478912","9649872","5392480","16003072","0"
"4600","scroll","29192192","9746840","5305920","16003072","0"
"4800","scroll","29409280","9659952","5395216","16003072","0"
"5000","scroll","29483008","9557064","5491200","16003072","0"
"5200","scroll","29487104","9582520","5466576","16003072","0"
"5400","scroll","28958720","9360424","5689488","16003072","0"
"5600","scroll","29163520","9665120","5371872","16003072","0"
"5800","scroll","29478912","9602488","5518656","16003072","0"
"6000","scroll","29466624","9722392","5388896","16003072","0"
"6000","model-cleared","29466624","9722392","5388896","16003072","0"
