"Frame","Phase","Private","Busy","Free","Committed","Errors"
"0","start","39849984","13365438","7675824","22048768","0"
"200","scroll","36073472","13506832","11102496","25747456","0"
"400","scroll","33484800","11748048","12825248","25612288","0"
"600","scroll","32296960","9630938","15899872","26550272","0"
"800","scroll","32849920","10817186","14731008","26550272","0"
"1000","scroll","32849920","10779858","14799360","26558464","0"
"1200","scroll","34754560","9899252","15717760","26558464","0"
"1400","scroll","35016704","9872100","13949024","24965120","0"
"1600","scroll","37249024","11809628","13001024","25899008","0"
"1800","scroll","34013184","9901158","15760608","26832896","0"
"2000","scroll","36855808","11750798","14844464","27766784","0"
"2200","scroll","36511744","10912822","15694480","27766784","0"
"2400","scroll","39772160","10828582","15772128","27766784","0"
"2600","scroll","39784448","11020254","15666672","27766784","0"
"2800","scroll","40755200","12845598","12955696","26832896","0"
"3000","scroll","39841792","10904528","13956768","25903104","0"
"3200","scroll","33439744","9966814","14861152","25903104","0"
"3400","scroll","33935360","9520798","17251056","27770880","0"
"3600","scroll","36098048","10851862","15865808","27770880","0"
"3800","scroll","38608896","15591894","11130960","27770880","0"
"4000","scroll","45182976","18303134","13049984","32440320","0"
"4200","scroll","41742336","9797494","16906464","27770880","0"
"4400","scroll","39292928","9783942","16880112","27770880","0"
"4600","scroll","39264256","10782070","15894496","27770880","0"
"4800","scroll","33873920","11008110","15681792","27770880","0"
"5000","scroll","34619392","10611558","16078256","27770880","0"
"5200","scroll","37273600","10512182","16180192","27770880","0"
"5400","scroll","39096320","11917694","14831984","27770880","0"
"5600","scroll","41762816","11904368","14823424","27770880","0"
"5800","scroll","39800832","10858016","14940576","26836992","0"
"6000","scroll","40742912","14539000","12185744","27770880","0"
"6000","model-cleared","40742912","14411018","12046608","27770880","0"
